,name,rank,plddt,ptm,rmsd_string,rmsd_diffusion,plddt_nonrefined,ptm_nonrefined,rmsd_string_nonrefined,rmsd_var,langevin
10448,5KPE_2_2_0_id5,5,60.37962962962962,0.52,9.79387092590332,9.795370101928711,79.60425925925927,0.67,1.6324496269226074,2,2
9752,5KPE_2_2_0_id6,1,91.49305555555556,0.8,1.2275421619415283,1.154730200767517,86.15009259259259,0.7,1.1364644765853882,2,2
660,5KPE_2_2_0_id6,2,90.64212962962964,0.77,1.1620365381240845,1.1175323724746704,83.17722222222226,0.66,1.5438556671142578,2,2
2217,5KPE_2_2_0_id6,3,89.78675925925927,0.73,1.1695789098739624,1.0882302522659302,83.0787962962963,0.69,1.1665347814559937,2,2
5787,5KPE_2_2_0_id6,4,87.945,0.73,2.1915600299835205,2.0335683822631836,82.41472222222221,0.69,1.0889322757720947,2,2
9764,5KPE_2_2_0_id6,5,64.48851851851853,0.52,9.91369915008545,9.927547454833984,79.52814814814813,0.66,1.3572418689727783,2,2
10596,5KPE_2_2_0_id7,1,91.9811111111111,0.82,1.335400104522705,1.1677465438842773,84.33907407407408,0.66,1.477879285812378,2,2
10967,5KPE_2_2_0_id7,2,90.93425925925928,0.77,1.2617465257644653,1.1103968620300293,83.79805555555556,0.68,1.3667876720428467,2,2
1868,5KPE_2_2_0_id7,3,89.22999999999999,0.75,1.2398107051849365,1.0955532789230347,82.01796296296297,0.63,1.3682186603546143,2,2
10668,5KPE_2_2_0_id7,4,88.02648148148148,0.74,0.8282825350761414,0.5859853625297546,81.73074074074073,0.67,1.3041155338287354,2,2
2360,5KPE_2_2_0_id7,5,64.2475,0.51,11.353313446044922,11.369872093200684,80.93898148148146,0.64,1.4267082214355469,2,2
11098,5KPE_2_2_0_id8,1,90.11527777777776,0.75,1.2171337604522705,1.0694587230682373,72.52777777777777,0.58,10.265278816223145,2,2
11173,5KPE_2_2_0_id8,2,89.00768518518517,0.73,1.1390084028244019,0.9980049729347229,70.0676851851852,0.55,10.492144584655762,2,2
4002,5KPE_2_2_0_id8,3,88.96564814814816,0.75,1.148101568222046,0.9674861431121826,68.56361111111111,0.57,10.138448715209961,2,2
555,5KPE_2_2_0_id8,4,88.65500000000002,0.74,0.8701167106628418,0.6551099419593811,66.50324074074075,0.55,10.99753475189209,2,2
11321,5KPE_2_2_0_id8,5,88.43462962962964,0.74,1.0561350584030151,0.8711792230606079,62.98601851851853,0.53,10.530404090881348,2,2
9549,5KPE_2_2_1_id1,1,89.78212962962964,0.77,1.0667872428894043,0.7735174894332886,86.53898148148147,0.73,0.844009518623352,2,2
11907,5KPE_2_2_1_id1,2,89.6726851851852,0.77,1.0865416526794434,0.770380973815918,86.38333333333331,0.7,0.7433051466941833,2,2
10511,5KPE_2_2_1_id1,3,88.87407407407409,0.75,0.9585724472999573,0.6636794805526733,86.33564814814815,0.71,0.6073800921440125,2,2
10532,5KPE_2_2_1_id1,4,88.88138888888889,0.74,0.987101674079895,0.6885088086128235,85.07,0.69,0.8564124703407288,2,2
7279,5KPE_2_2_1_id1,5,86.8738888888889,0.74,1.0409736633300781,0.7254625558853149,57.87388888888889,0.53,5.801214218139648,2,2
9462,5KPE_2_2_1_id2,1,91.02027777777778,0.79,1.0093376636505127,0.7715383172035217,87.41064814814817,0.7,0.9289026856422424,2,2
57,5KPE_2_2_1_id2,2,90.72574074074072,0.76,1.0740169286727905,0.825248122215271,85.86287037037037,0.68,0.9428643584251404,2,2
6999,5KPE_2_2_1_id2,3,90.42805555555556,0.77,1.0677696466445923,0.8368430733680725,85.4624074074074,0.68,0.833850085735321,2,2
9159,5KPE_2_2_1_id2,4,89.1237037037037,0.78,1.1447542905807495,0.9099236130714417,85.29083333333334,0.65,1.190571665763855,2,2
6740,5KPE_2_2_1_id2,5,88.65296296296299,0.75,1.11082124710083,0.907834529876709,85.18351851851851,0.7,1.01304292678833,2,2
1125,5KPE_2_2_1_id3,1,91.98425925925925,0.81,1.0290968418121338,0.7166235446929932,87.45675925925926,0.72,1.141375184059143,2,2
12345,5KPE_2_2_1_id3,2,89.93342592592592,0.78,1.0463662147521973,0.7518583536148071,86.06962962962963,0.69,1.2407238483428955,2,2
2892,5KPE_2_2_1_id3,3,89.17805555555555,0.76,1.0152108669281006,0.7381962537765503,85.70601851851853,0.67,1.2405086755752563,2,2
8332,5KPE_2_2_1_id3,4,88.66314814814815,0.76,1.0475242137908936,0.7430523633956909,85.26555555555557,0.7,1.1159586906433105,2,2
7600,5KPE_2_2_1_id3,5,76.19888888888889,0.65,1.2414023876190186,0.990330159664154,83.44518518518517,0.68,1.0024268627166748,2,2
8196,5KPE_2_2_1_id4,1,92.57675925925923,0.82,1.1145999431610107,0.7915827035903931,83.88064814814817,0.68,1.0172501802444458,2,2
2687,5KPE_2_2_1_id4,2,92.20777777777776,0.82,1.0830225944519043,0.7452400922775269,82.48388888888888,0.65,1.519823670387268,2,2
2174,5KPE_2_2_1_id4,3,92.0348148148148,0.83,1.116245150566101,0.7692183256149292,82.08296296296295,0.64,1.052810549736023,2,2
2151,5KPE_2_2_1_id4,4,91.5849074074074,0.81,1.1272863149642944,0.8004133701324463,77.54703703703704,0.59,1.214582085609436,2,2
11915,5KPE_2_2_1_id4,5,89.6963888888889,0.79,1.076250672340393,0.7565808296203613,74.82749999999999,0.59,1.3584426641464233,2,2
6577,5KPE_2_2_1_id5,1,91.09453703703704,0.77,1.037535548210144,0.6781865954399109,83.77037037037036,0.64,1.3583300113677979,2,2
11026,5KPE_2_2_1_id5,2,90.2988888888889,0.76,0.9469897747039795,0.5640325546264648,83.72685185185186,0.67,2.5466346740722656,2,2
1572,5KPE_2_2_1_id5,3,89.83092592592594,0.75,1.0113087892532349,0.636242687702179,83.19527777777778,0.66,2.4540579319000244,2,2
10643,5KPE_2_2_1_id5,4,89.63212962962962,0.73,0.9777898192405701,0.631985068321228,82.51638888888887,0.66,2.478548765182495,2,2
1610,5KPE_2_2_1_id5,5,88.82796296296294,0.72,0.9674407839775085,0.6382567286491394,78.19527777777778,0.57,1.7113672494888306,2,2
3061,5KPE_2_2_1_id6,1,88.61425925925927,0.73,1.0449110269546509,0.7838577628135681,88.91898148148148,0.78,1.1604373455047607,2,2
217,5KPE_2_2_1_id6,2,88.11203703703704,0.74,1.1899141073226929,0.9673286080360413,88.46009259259257,0.76,1.2982617616653442,2,2
12169,5KPE_2_2_1_id6,3,87.97851851851854,0.72,1.1075587272644043,0.9067724943161011,87.53472222222223,0.74,1.1991803646087646,2,2
12100,5KPE_2_2_1_id6,4,87.61249999999997,0.75,1.0838067531585693,0.8181989789009094,87.34046296296297,0.73,1.1600037813186646,2,2
213,5KPE_2_2_1_id6,5,87.05805555555558,0.72,1.1339689493179321,0.8972821831703186,87.08092592592592,0.74,1.25914466381073,2,2
4273,5KPE_2_2_1_id7,1,88.5111111111111,0.75,1.2996731996536255,1.1328274011611938,86.04935185185185,0.69,1.1074546575546265,2,2
5016,5KPE_2_2_1_id7,2,87.54601851851852,0.73,1.1853779554367065,0.9805291891098022,85.19333333333333,0.68,1.1950702667236328,2,2
8940,5KPE_2_2_1_id7,3,87.38518518518516,0.73,1.1881957054138184,0.9551932215690613,84.67648148148149,0.66,1.2692582607269287,2,2
7732,5KPE_2_2_1_id7,4,87.01203703703703,0.73,1.1016560792922974,0.9059666395187378,83.31277777777777,0.66,1.3131110668182373,2,2
9490,5KPE_2_2_1_id7,5,86.51194444444445,0.76,1.0830128192901611,0.8649870157241821,82.89305555555555,0.63,1.594414234161377,2,2
11623,5KPE_2_2_1_id8,1,69.2063888888889,0.56,11.837237358093262,11.832683563232422,82.9948148148148,0.66,1.2155256271362305,2,2
10680,5KPE_2_2_1_id8,2,67.92787037037037,0.49,9.724214553833008,9.69836711883545,82.94490740740741,0.65,1.2261601686477661,2,2
5089,5KPE_2_2_1_id8,3,67.5787037037037,0.56,11.842309951782227,11.840754508972168,81.72092592592591,0.65,1.2929936647415161,2,2
8180,5KPE_2_2_1_id8,4,66.00777777777778,0.55,11.923788070678711,11.91919994354248,77.23314814814815,0.62,1.991978406906128,2,2
9083,5KPE_2_2_1_id8,5,65.7161111111111,0.54,11.660191535949707,11.65896224975586,76.67787037037039,0.62,2.086509943008423,2,2
12183,5KPE_2_2_2_id1,1,89.53388888888891,0.76,0.9678595066070557,0.7868282794952393,88.91916666666665,0.73,0.7471645474433899,2,2
1335,5KPE_2_2_2_id1,2,86.78120370370371,0.73,0.9841639995574951,0.7665449380874634,87.88564814814812,0.72,0.8155190944671631,2,2
6370,5KPE_2_2_2_id1,3,66.9887037037037,0.57,11.611977577209473,11.713637351989746,86.86324074074075,0.69,0.7932746410369873,2,2
5685,5KPE_2_2_2_id1,4,61.90981481481482,0.53,11.993584632873535,12.12006664276123,86.65879629629632,0.74,0.8628949522972107,2,2
3215,5KPE_2_2_2_id1,5,59.89333333333334,0.49,11.724735260009766,11.843441009521484,84.56629629629627,0.68,2.440974235534668,2,2
5417,5KPE_2_2_2_id2,1,90.22305555555556,0.74,1.0540084838867188,0.9299283027648926,85.95259259259258,0.65,11.108280181884766,2,2
5006,5KPE_2_2_2_id2,2,89.9839814814815,0.74,0.9359819293022156,0.7560384273529053,84.5065740740741,0.64,11.17470645904541,2,2
11595,5KPE_2_2_2_id2,3,89.65277777777776,0.71,1.086024522781372,0.9454599022865295,84.52879629629626,0.65,11.180642127990723,2,2
12031,5KPE_2_2_2_id2,4,75.91629629629631,0.62,10.271419525146484,10.292421340942383,82.43722222222223,0.52,12.239230155944824,2,2
1406,5KPE_2_2_2_id2,5,74.11638888888889,0.56,11.186983108520508,11.332823753356934,67.08055555555555,0.51,11.791300773620605,2,2
597,5KPE_2_2_2_id3,1,86.62953703703705,0.71,1.2230525016784668,1.088918924331665,88.65787037037038,0.74,0.7247961759567261,2,2
3897,5KPE_2_2_2_id3,2,76.88166666666666,0.61,10.79875659942627,10.940614700317383,88.15768518518519,0.72,0.8771210312843323,2,2
3312,5KPE_2_2_2_id3,3,75.19388888888888,0.6,11.179978370666504,11.324322700500488,88.10879629629629,0.72,1.1329091787338257,2,2
2554,5KPE_2_2_2_id3,4,69.62037037037037,0.57,11.396319389343262,11.52828311920166,88.02916666666667,0.71,0.9300435781478882,2,2
11277,5KPE_2_2_2_id3,5,61.944814814814826,0.39,15.734448432922363,15.886225700378418,84.2223148148148,0.68,1.0501155853271484,2,2
10923,5KPE_2_2_2_id4,1,76.26712962962964,0.61,10.243534088134766,10.262786865234375,90.25787037037036,0.77,0.8708382248878479,2,2
9241,5KPE_2_2_2_id4,2,73.11333333333333,0.62,10.158408164978027,10.182169914245605,89.79898148148148,0.73,0.8366002440452576,2,2
5853,5KPE_2_2_2_id4,3,69.84472222222223,0.59,10.197219848632812,10.216208457946777,89.14296296296295,0.74,0.9081088304519653,2,2
8065,5KPE_2_2_2_id4,4,65.22333333333333,0.55,11.928385734558105,12.077021598815918,89.06842592592594,0.73,0.8194422125816345,2,2
3443,5KPE_2_2_2_id4,5,63.91425925925927,0.54,11.40633487701416,11.541388511657715,88.49083333333331,0.71,0.8367364406585693,2,2
374,5KPE_2_2_2_id5,1,88.11194444444443,0.76,1.1439591646194458,0.8989123702049255,87.41962962962964,0.74,1.0338692665100098,2,2
9937,5KPE_2_2_2_id5,2,88.13814814814815,0.7,3.3609609603881836,3.2176578044891357,87.30222222222221,0.71,1.0077121257781982,2,2
1642,5KPE_2_2_2_id5,3,85.83824074074074,0.68,1.0460624694824219,0.9009510278701782,87.33240740740739,0.72,1.0900523662567139,2,2
9409,5KPE_2_2_2_id5,4,85.18379629629628,0.66,2.521911859512329,2.341304063796997,85.63009259259259,0.73,1.073540210723877,2,2
2807,5KPE_2_2_2_id5,5,82.67981481481483,0.69,1.606948733329773,1.459246277809143,80.22314814814817,0.61,11.122692108154297,2,2
10279,5KPE_2_2_2_id6,1,70.38194444444444,0.56,9.843302726745605,9.842416763305664,92.23935185185184,0.8,0.9863606095314026,2,2
6753,5KPE_2_2_2_id6,2,66.65888888888888,0.5,8.642349243164062,8.621423721313477,91.37425925925923,0.77,1.0718926191329956,2,2
528,5KPE_2_2_2_id6,3,61.8923148148148,0.47,10.172636032104492,10.145565032958984,89.70425925925926,0.75,1.037771463394165,2,2
3670,5KPE_2_2_2_id6,4,61.80185185185186,0.48,10.164392471313477,10.14632511138916,89.41351851851852,0.74,1.1769465208053589,2,2
11374,5KPE_2_2_2_id6,5,57.22212962962962,0.47,10.054830551147461,10.018163681030273,89.2738888888889,0.74,1.0567331314086914,2,2
1824,5KPE_2_2_2_id7,1,92.89212962962964,0.8,0.9333928227424622,0.7510219216346741,80.3363888888889,0.64,1.2819162607192993,2,2
7663,5KPE_2_2_2_id7,2,90.00398148148146,0.76,1.0293484926223755,0.8645540475845337,80.03027777777777,0.62,9.661945343017578,2,2
9738,5KPE_2_2_2_id7,3,67.56083333333333,0.56,9.68897533416748,9.716815948486328,70.60851851851851,0.55,9.28114128112793,2,2
4817,5KPE_2_2_2_id7,4,66.29046296296298,0.54,9.308990478515625,9.336526870727539,63.53018518518518,0.51,6.9635467529296875,2,2
41,5KPE_2_2_2_id7,5,65.08407407407407,0.53,9.67126178741455,9.678208351135254,58.75444444444445,0.51,12.560914993286133,2,2
1045,5KPE_2_2_2_id8,1,90.54796296296296,0.77,1.519646406173706,1.303197979927063,90.125,0.77,0.9537986516952515,2,2
2447,5KPE_2_2_2_id8,2,89.69546296296299,0.73,1.5225121974945068,1.33263099193573,89.55814814814818,0.76,0.9813600778579712,2,2
2403,5KPE_2_2_2_id8,3,89.6112962962963,0.72,1.3875586986541748,1.1795775890350342,87.15194444444444,0.69,1.2771717309951782,2,2
5029,5KPE_2_2_2_id8,4,89.00796296296295,0.75,1.4258252382278442,1.2013862133026123,86.24129629629627,0.7,1.3293815851211548,2,2
1384,5KPE_2_2_2_id8,5,88.73296296296297,0.74,1.3212969303131104,1.0713735818862915,84.36638888888889,0.71,2.1737470626831055,2,2
8645,5KPE_2_2_3_id1,1,92.70601851851852,0.81,0.8949963450431824,0.6157271265983582,90.62250000000002,0.77,1.1626948118209839,2,2
7698,5KPE_2_2_3_id1,2,90.5074074074074,0.75,0.9548446536064148,0.6734840869903564,89.95157407407406,0.74,1.0519734621047974,2,2
3188,5KPE_2_2_3_id1,3,90.2225925925926,0.77,0.9302321076393127,0.658803403377533,88.85055555555556,0.72,1.0578150749206543,2,2
7708,5KPE_2_2_3_id1,4,89.63212962962963,0.75,1.2791507244110107,1.0663585662841797,87.51472222222219,0.71,1.1444075107574463,2,2
4736,5KPE_2_2_3_id1,5,89.51166666666667,0.74,0.8443859815597534,0.6154808402061462,84.76509259259261,0.67,1.1846822500228882,2,2
12356,5KPE_2_2_3_id2,1,91.34444444444443,0.77,1.1478475332260132,0.9205743670463562,80.21027777777775,0.66,1.2786372900009155,2,2
6862,5KPE_2_2_3_id2,2,91.37287037037038,0.77,1.1482828855514526,0.9099922180175781,77.11824074074075,0.58,2.9220516681671143,2,2
7875,5KPE_2_2_3_id2,3,89.57462962962963,0.75,1.3801770210266113,1.2263002395629883,76.26453703703703,0.61,3.3047549724578857,2,2
6866,5KPE_2_2_3_id2,4,86.59527777777781,0.71,2.3012595176696777,2.138887405395508,72.96861111111112,0.6,2.2061033248901367,2,2
587,5KPE_2_2_3_id2,5,67.3214814814815,0.52,8.561395645141602,8.57009506225586,72.30212962962963,0.43,10.982645988464355,2,2
724,5KPE_2_2_3_id3,1,74.73787037037037,0.58,9.786213874816895,9.733635902404785,89.5299074074074,0.74,1.0188288688659668,2,2
8846,5KPE_2_2_3_id3,2,70.21722222222222,0.54,11.04452896118164,11.102788925170898,89.43046296296296,0.74,1.0555185079574585,2,2
4304,5KPE_2_2_3_id3,3,68.3162962962963,0.53,9.662369728088379,9.668802261352539,87.52462962962964,0.7,1.0556341409683228,2,2
3222,5KPE_2_2_3_id3,4,66.20453703703704,0.5,6.742988109588623,6.781122207641602,75.14185185185185,0.6,10.733797073364258,2,2
8870,5KPE_2_2_3_id3,5,61.76407407407408,0.51,10.01401138305664,9.950418472290039,69.43287037037037,0.52,11.541154861450195,2,2
8897,5KPE_2_2_3_id4,1,93.1373148148148,0.81,0.858254611492157,0.5819355249404907,79.88333333333334,0.64,11.444988250732422,2,2
8854,5KPE_2_2_3_id4,2,91.30064814814816,0.77,0.8219705820083618,0.5807919502258301,79.01083333333334,0.62,11.177268981933594,2,2
2626,5KPE_2_2_3_id4,3,91.06055555555557,0.75,0.8784708380699158,0.6302581429481506,78.07583333333332,0.62,11.503976821899414,2,2
2455,5KPE_2_2_3_id4,4,85.94796296296296,0.71,0.8817554712295532,0.624946117401123,73.29814814814814,0.54,11.298715591430664,2,2
1109,5KPE_2_2_3_id4,5,84.80453703703704,0.68,2.3226191997528076,2.313267230987549,67.59259259259258,0.53,2.295391082763672,2,2
2899,5KPE_2_2_3_id5,1,93.17296296296298,0.8,0.9555628895759583,0.5989513993263245,85.28657407407407,0.7,0.909903883934021,2,2
200,5KPE_2_2_3_id5,2,84.3823148148148,0.72,1.0740714073181152,0.7540381550788879,84.96740740740742,0.68,11.319785118103027,2,2
2014,5KPE_2_2_3_id5,3,64.46194444444444,0.53,2.43696928024292,2.214513063430786,83.60379629629631,0.64,11.097424507141113,2,2
3243,5KPE_2_2_3_id5,4,62.2837962962963,0.5,11.134416580200195,11.192192077636719,83.0025,0.61,11.147262573242188,2,2
4810,5KPE_2_2_3_id5,5,61.41759259259259,0.49,11.208211898803711,11.247365951538086,81.97509259259259,0.68,0.926397442817688,2,2
10346,5KPE_2_2_3_id6,1,92.27527777777776,0.78,0.9067755341529846,0.6209537982940674,78.00796296296295,0.6,11.233657836914062,2,2
6053,5KPE_2_2_3_id6,2,90.87962962962963,0.75,0.8341283202171326,0.5701616406440735,77.50120370370371,0.62,11.17501163482666,2,2
4093,5KPE_2_2_3_id6,3,90.02824074074073,0.71,1.12381112575531,0.8228998184204102,76.70694444444445,0.61,11.171428680419922,2,2
2676,5KPE_2_2_3_id6,4,90.04888888888891,0.73,1.163431167602539,0.8729283809661865,76.61638888888889,0.64,11.339910507202148,2,2
10508,5KPE_2_2_3_id6,5,62.529629629629625,0.49,9.58442211151123,9.546517372131348,76.10805555555555,0.58,11.196959495544434,2,2
3372,5KPE_2_2_3_id7,1,91.81638888888892,0.8,0.8695563673973083,0.6009317636489868,77.17888888888889,0.58,11.12348461151123,2,2
9238,5KPE_2_2_3_id7,2,90.38870370370373,0.75,0.9147610664367676,0.6569560766220093,75.4274074074074,0.62,11.291460037231445,2,2
243,5KPE_2_2_3_id7,3,89.41638888888886,0.75,0.9274443984031677,0.6842744946479797,73.09722222222223,0.49,10.641093254089355,2,2
843,5KPE_2_2_3_id7,4,89.37944444444445,0.76,0.9564533233642578,0.7302713990211487,71.515,0.51,10.772965431213379,2,2
9982,5KPE_2_2_3_id7,5,89.05703703703703,0.76,0.9176632761955261,0.7080860137939453,70.47111111111111,0.56,11.303412437438965,2,2
10133,5KPE_2_2_3_id8,1,66.64916666666667,0.53,1.7129771709442139,1.4668515920639038,86.92222222222225,0.73,0.9989339113235474,2,2
5952,5KPE_2_2_3_id8,2,65.74962962962962,0.48,9.436281204223633,9.356404304504395,86.9648148148148,0.7,0.9464000463485718,2,2
12262,5KPE_2_2_3_id8,3,63.62944444444446,0.47,11.392662048339844,11.344045639038086,86.88870370370368,0.7,1.102509617805481,2,2
10991,5KPE_2_2_3_id8,4,62.200370370370365,0.49,10.117364883422852,10.128032684326172,86.6112037037037,0.71,1.0048224925994873,2,2
4822,5KPE_2_2_3_id8,5,61.31592592592592,0.49,9.686168670654297,9.620304107666016,86.44833333333334,0.68,0.9895548224449158,2,2
1103,5KPE_2_2_4_id1,1,81.87925925925927,0.64,11.101215362548828,11.068328857421875,87.41435185185186,0.72,0.7596086859703064,2,2
7247,5KPE_2_2_4_id1,2,79.73694444444445,0.64,11.406208038330078,11.341331481933594,86.67055555555554,0.75,0.7709760665893555,2,2
3184,5KPE_2_2_4_id1,3,79.63787037037038,0.64,11.277597427368164,11.217589378356934,84.69435185185185,0.71,0.9636834859848022,2,2
1801,5KPE_2_2_4_id1,4,79.50759259259256,0.63,11.252213478088379,11.209144592285156,82.97148148148148,0.69,0.7987757921218872,2,2
9583,5KPE_2_2_4_id1,5,76.33333333333333,0.64,11.35235595703125,11.30240535736084,75.13842592592593,0.54,10.790594100952148,2,2
9204,5KPE_2_2_4_id2,1,82.80037037037037,0.63,11.284053802490234,11.232474327087402,89.90694444444445,0.8,0.8299106359481812,2,2
1398,5KPE_2_2_4_id2,2,76.8086111111111,0.6,11.165886878967285,11.073607444763184,89.57694444444442,0.78,0.8198718428611755,2,2
11695,5KPE_2_2_4_id2,3,76.69740740740743,0.61,11.362384796142578,11.27670669555664,89.00907407407409,0.76,0.912767231464386,2,2
8673,5KPE_2_2_4_id2,4,71.19675925925925,0.59,11.394384384155273,11.29376220703125,88.72185185185187,0.76,0.8324304223060608,2,2
8591,5KPE_2_2_4_id2,5,70.83972222222222,0.59,11.487262725830078,11.380977630615234,86.93462962962964,0.76,0.8806548118591309,2,2
5488,5KPE_2_2_4_id3,1,81.74046296296294,0.65,9.800500869750977,9.781939506530762,85.91037037037034,0.69,2.240051507949829,2,2
4181,5KPE_2_2_4_id3,2,81.50407407407407,0.65,10.043871879577637,10.039731979370117,85.53046296296296,0.68,1.5697563886642456,2,2
10316,5KPE_2_2_4_id3,3,80.87694444444443,0.69,11.206926345825195,11.164992332458496,85.52740740740741,0.69,1.5857208967208862,2,2
2472,5KPE_2_2_4_id3,4,80.52888888888889,0.66,11.22026252746582,11.187729835510254,85.19601851851854,0.73,2.5983593463897705,2,2
9510,5KPE_2_2_4_id3,5,77.44953703703705,0.63,11.175898551940918,11.136934280395508,72.21712962962962,0.55,3.501581907272339,2,2
7997,5KPE_2_2_4_id4,1,79.68370370370369,0.64,11.036730766296387,10.973198890686035,87.84194444444447,0.71,2.6679909229278564,2,2
5690,5KPE_2_2_4_id4,2,79.46333333333334,0.64,11.11557674407959,11.049539566040039,86.30648148148148,0.68,2.756457567214966,2,2
8506,5KPE_2_2_4_id4,3,78.3075925925926,0.66,11.378315925598145,11.306735038757324,85.20351851851854,0.67,2.502566337585449,2,2
10745,5KPE_2_2_4_id4,4,76.68768518518517,0.62,11.200599670410156,11.1294584274292,82.92592592592591,0.64,2.366002082824707,2,2
11614,5KPE_2_2_4_id4,5,76.40888888888888,0.65,11.418656349182129,11.330497741699219,73.0726851851852,0.59,3.248335123062134,2,2
1587,5KPE_2_2_4_id5,1,69.62296296296296,0.57,11.710183143615723,11.609073638916016,82.45333333333332,0.59,11.351178169250488,2,2
4207,5KPE_2_2_4_id5,2,67.11759259259259,0.57,1.8924686908721924,1.7895814180374146,80.06055555555557,0.61,11.29193115234375,2,2
9822,5KPE_2_2_4_id5,3,65.5461111111111,0.54,12.191988945007324,12.070587158203125,77.7799074074074,0.63,10.302034378051758,2,2
97,5KPE_2_2_4_id5,4,64.91490740740741,0.53,11.892049789428711,11.77482795715332,77.17185185185187,0.63,1.7640877962112427,2,2
103,5KPE_2_2_4_id5,5,62.567870370370365,0.53,9.376644134521484,9.418970108032227,67.4562962962963,0.54,11.379205703735352,2,2
8476,5KPE_2_2_4_id6,1,77.87,0.64,11.371870994567871,11.257540702819824,92.4499074074074,0.8,0.8545014262199402,2,2
3956,5KPE_2_2_4_id6,2,76.80685185185185,0.62,11.518394470214844,11.396004676818848,89.88722222222222,0.75,0.9119954109191895,2,2
10963,5KPE_2_2_4_id6,3,74.9162962962963,0.58,11.274842262268066,11.167234420776367,89.28398148148148,0.74,0.9332844018936157,2,2
11729,5KPE_2_2_4_id6,4,71.8398148148148,0.59,11.37832260131836,11.280901908874512,86.90462962962962,0.7,1.1519654989242554,2,2
2297,5KPE_2_2_4_id6,5,70.53861111111111,0.59,11.429159164428711,11.29847526550293,75.41879629629629,0.52,3.982264995574951,2,2
5980,5KPE_2_2_4_id7,1,81.96287037037038,0.7,1.929490566253662,1.7353770732879639,88.91324074074072,0.75,0.8127965927124023,2,2
